,Sector,Model,MSE,MAE,R2
0,Technology,Linear,0.00045331302624178967,0.015574143580096678,-0.07875308826051686
1,Technology,Ridge,0.00022270693704118857,0.011417349737072624,0.36544906415151096
2,Technology,RandomForest,0.00021103976311835065,0.010863843492755354,0.41584508612339494
3,Technology,GradientBoosting,0.0002227310097065587,0.011083348912989432,0.388473231700569
4,Financial,Linear,9.403847906413055e-05,0.0072167776798931355,0.5566009588116712
5,Financial,Ridge,7.766448430646931e-05,0.006542709399838802,0.6286476163766787
6,Financial,RandomForest,8.603702569861726e-05,0.006752089114260946,0.5995832362193118
7,Financial,GradientBoosting,9.170097213589933e-05,0.007070820894566793,0.5687377715331707
8,Healthcare,Linear,8.11236657549894e-05,0.00674265071037989,0.1885601799533172
9,Healthcare,Ridge,7.967042869492945e-05,0.006629186952754714,0.20014979914329656
10,Healthcare,RandomForest,8.039075791705233e-05,0.006683045694008562,0.1885656517635639
11,Healthcare,GradientBoosting,8.061575958318692e-05,0.006702699216202313,0.17892210836424827
12,Consumer,Linear,8.550481410486856e-05,0.00676619108447987,0.14685598769273234
13,Consumer,Ridge,5.03340107435085e-05,0.005335205218997249,0.407730166449028
14,Consumer,RandomForest,4.8389938618318974e-05,0.005091072464152785,0.4437042910493214
15,Consumer,GradientBoosting,5.306475812402879e-05,0.0052847851709392985,0.3918149088375868
16,Energy,Linear,0.0006390410663593317,0.01727434161246386,-0.45026467426231404
17,Energy,Ridge,0.00030420513918785356,0.012842655804167073,0.20409830886932676
18,Energy,RandomForest,0.00025502956587302356,0.011900851834591887,0.2858931522089101
19,Energy,GradientBoosting,0.00027633088863704387,0.01232561326026258,0.21235114418451387
20,Industrial,Linear,0.0001327704134883481,0.00830434482937572,0.41820782937104156
21,Industrial,Ridge,6.957987808970675e-05,0.006178771180207273,0.6551261302245844
22,Industrial,RandomForest,7.955413275456098e-05,0.006438805726967228,0.6046888465815059
23,Industrial,GradientBoosting,7.977373786170675e-05,0.00650422623464027,0.599311615114671
24,Utilities,Linear,0.00014798026935923381,0.009366265458436943,0.027971041860480456
25,Utilities,Ridge,0.00012121370461408021,0.008422588227766009,0.1855661929279687
26,Utilities,RandomForest,0.00011212655332490757,0.008039560336832247,0.24240568988436095
27,Utilities,GradientBoosting,0.00011466289620567893,0.008190224562686135,0.22726902513575942
